,SMILES,predicted_affinity_score
95,CCN(CC)C(=O)C(C)NC(=O)C1=C(OC=C1)Br,8.587665557861328
96,CCC(CC)N(C)C(=O)C1=NC2=CC=CC=C2C(=C1)NC,8.58741569519043
97,CCC(CC)N(C)C(=O)C1=CC2=CC=CC=C2C(=N1)NC,8.58704948425293
98,CCC(CC)(CN)C(=O)N(C)C1=CC=CC(=C1)C.Cl,8.586883544921875
99,CCC(CC)NC(=O)C1=CC=C(O1)Br,8.586856842041016
100,CCC(CC)NC(=O)C(C)N1C(=NC2=CC=CC=C21)C,8.586501121520996
101,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C.O.Cl,8.58631420135498
102,CCC(C)N(CC)C(=O)C1=C(C=CC=C1Cl)S(=O)(=O)N,8.586228370666504
103,CCC(CC)(C#N)NC(=O)C1=CC=C(S1)Br,8.586058616638184
104,CCC(CC)N(C)C(=O)C1=CC2=C(C=C1)N=C(S2)N,8.585949897766113
105,CCC(C)N(CC)C(=O)C1=C(C(=CC(=C1)S(=O)(=O)N)C)C,8.585862159729004
106,CCN(CC)CC(=O)NC1=CC=CC=C1C.Br,8.585759162902832
107,CCC(C)N(CC)C(=O)C1=C(C2=C(S1)C=CC(=C2)C)N,8.585537910461426
108,CCC(C)N(CC)C(=O)C1=CC(=NC2=CC=CC=C21)N,8.585498809814453
109,CCC(CC)N(C)C(=O)C1=CN=C(C2=CC=CC=C21)N,8.585336685180664
110,CCC(CC)NS(=O)(=O)C1=C2C=CC=NC2=C(C=C1)C,8.585115432739258
111,CCC(CC)N(C)C(=O)C1=C(C2=C(C=CN=C2S1)C)N,8.585103988647461
112,CCC(CC)N(C)C(=O)C1=CC2=C(C=C1)N=C(N2)C,8.584990501403809
113,CCC(CC)N(C)C(=O)C1C2=CC=CC=C2CCN1,8.584857940673828
114,CCC(CC)NS(=O)(=O)C1=C(C(=CC(=C1C)C)C)C,8.584833145141602
115,CCC(CC)N(C)S(=O)(=O)C1=CC=CC2=C1CCCN2,8.584750175476074
116,CCC(CC)N(C)C(=O)C1=C(C2=C(C=CC=C2S1)OC)N,8.58470344543457
117,CCN(CC)C(=O)C(C)NC1=CC=CC=C1Br,8.584697723388672
118,CCC(CC)(CN)C(=O)N(C)C1=CC(=CC(=C1)C)C.Cl,8.584695816040039
119,CCC(CC)NS(=O)(=O)C1=C(SC(=C1)Br)C,8.584656715393066
120,CCN(CC)C(=O)C(C)NC(=O)C1=CC=C(C=C1)Cl,8.584589004516602
121,CCC(CC)NC(=O)C1=C2CCCN2C(=O)C=C1C3=CC=CC=C3,8.584527015686035
122,CCN(CC)C(=O)CNC(=O)C1=CC=C(S1)Br,8.584488868713379
123,CCC(C)N(CC)C(=O)C1=C(C2=C(S1)C=C(C=C2)C)N,8.58444595336914
124,CCN(CC)C(=O)N(C)C(CO)C1=CC(=CC=C1)Br,8.584334373474121
125,CCN(CC)C(C)C(=O)NC1=NSC2=CC=CC=C21,8.584300994873047
126,CCC(CC)N(C)S(=O)(=O)C1=CC2=C(CCCN2)C=C1,8.584227561950684
127,CCN(CC)CC(=O)NC1=NC=C(S1)Cl.Cl,8.584169387817383
128,CCN(CC)C(=O)CNC(=O)C1=CC=C(C=C1)Br,8.584127426147461
129,CCC(CC)N(C)C(=O)C1=C2CCCNC2=CC=C1,8.584065437316895
130,CCC(C)N(CC)C(=O)C1=C(C2=C(S1)N=C(C=C2C)C)N,8.583619117736816
131,CCN(CC)C(=O)CNC(=O)C1=CC(=CC=C1)Br,8.583571434020996
132,CCN(CC)C(=O)CNC(=O)C1=C(C=CS1)Br,8.583409309387207
133,CCN(CC)CCNC1=NCCC2=CC=CC=C21.Cl.Cl,8.583407402038574
134,CCC(C)(CC)NC(=O)C1=C(C2=C(S1)N=C(C=C2)C)N,8.583393096923828
135,CCC(CC)NC(=O)C1=C(C2=C(N=C(N=C2S1)C)C)C,8.583354949951172
136,CCC(CC)NC(=O)C1=CC2=C(N=C1)N(N=C2C)C,8.58328914642334
137,CCC(C)N(CC)C(=O)C1=C(C2=C(S1)N=NC(=C2C)C)N,8.583252906799316
138,CCC(CC)N(C)C(=O)C1=CC2=C(C=C1)C=NN2,8.583112716674805
139,CCC(CC)N(C)C(=O)C1CCNC2=CC=CC=C12,8.583002090454102
140,CCC(CC)NS(=O)(=O)C1=CC2=C(C=C1)N(C(=O)S2)C,8.582894325256348
141,CCC(CC)NC(=O)CN1C=NC2=CC(=C(C=C21)F)F,8.58267879486084
142,CCC(CC)(C#N)NC(=O)C1CC2=CC=CC=C2S1,8.582566261291504
143,CCC(CC)N(C)S(=O)(=O)C1=CC2=C(C=C1)NC(=O)CC2,8.582559585571289
144,CCC(CC)N(C)S(=O)(=O)C1=CC2=C(C=C1)NCCC2,8.58250904083252
145,CCC(CC)NC(=O)C1=C(C2=C(O1)C=CC(=C2)F)C,8.58249568939209
146,CCC(CC)NC(=O)C1=CC2=C(S1)N(N=C2C)C,8.582474708557129
147,CCC(CC)N(C)C(=O)C1=CC2=C(C=C1)N=CN2,8.582392692565918
148,CCC(CC)NS(=O)(=O)C1=C(C=CC(=C1)Br)C,8.58236026763916
149,CCC(C)N(CC)C(=O)C1=C(C2=C(S1)C=C(N=C2C)C)N,8.581600189208984
150,CCC(C)N(CC)C(=O)C1=C(C2=C(S1)N(N=C2C)C)N,8.581584930419922
151,CCC(CC)N(C)C(=O)C1=C(C2=C(S1)C=C(C=C2)OC)N,8.58155345916748
152,CCN(CC)C(=O)N(CC(=O)O)C1=CC=C(C=C1)Cl,8.58143424987793
153,CCC(CC)NS(=O)(=O)C1=C(C=CC(=C1)Cl)Cl,8.581374168395996
154,CCC(CC)NS(=O)(=O)C1=C(C=C(C=C1)F)Br,8.581147193908691
155,CCC(CC)NC(=O)C1=CC2=C(O1)C=CC(=C2)Cl,8.581073760986328
156,CCC(CC)NC(=O)C1=C(N=C(S1)C2=CSC=C2)C,8.58089828491211
